iter	Passed	Remaining
0	15	15941
1	32	16114
2	47	15756
3	62	15479
4	77	15499
5	93	15516
6	109	15476
7	124	15482
8	142	15713
9	158	15647
10	174	15720
11	194	16003
12	221	16800
13	243	17167
14	259	17051
15	280	17253
16	311	18003
17	321	17555
18	358	18508
19	393	19277
20	411	19184
21	439	19553
22	458	19478
23	493	20054
24	510	19895
25	546	20476
26	564	20353
27	583	20246
28	598	20023
29	616	19930
30	632	19760
31	648	19602
32	664	19459
33	680	19341
34	696	19213
35	714	19139
36	731	19035
37	747	18911
38	762	18784
39	777	18652
40	792	18534
41	807	18417
42	822	18301
43	837	18189
44	851	18080
45	867	17987
46	882	17885
47	897	17802
48	912	17715
49	928	17633
50	942	17546
51	959	17484
52	973	17399
53	990	17347
54	1005	17284
55	1022	17238
56	1037	17166
57	1052	17098
58	1068	17041
59	1083	16975
60	1098	16910
61	1113	16844
62	1128	16786
63	1143	16726
64	1159	16676
65	1174	16624
66	1190	16575
67	1205	16517
68	1220	16462
69	1235	16412
70	1250	16366
71	1265	16311
72	1280	16258
73	1295	16210
74	1310	16162
75	1325	16118
76	1340	16069
77	1355	16021
78	1370	15976
79	1385	15934
80	1400	15891
81	1415	15845
82	1430	15804
83	1446	15771
84	1461	15735
85	1477	15698
86	1492	15661
87	1507	15627
88	1523	15591
89	1538	15557
90	1553	15518
91	1569	15494
92	1586	15475
93	1604	15463
94	1625	15486
95	1646	15508
96	1671	15563
97	1698	15635
98	1719	15653
99	1740	15660
100	1762	15687
101	1777	15652
102	1792	15607
103	1807	15570
104	1823	15545
105	1839	15513
106	1856	15495
107	1871	15457
108	1891	15465
109	1906	15421
110	1921	15392
111	1938	15368
112	1954	15340
113	1969	15307
114	1991	15326
115	2008	15303
116	2021	15260
117	2038	15233
118	2057	15229
119	2072	15195
120	2088	15172
121	2103	15136
122	2119	15111
123	2134	15079
124	2157	15102
125	2176	15100
126	2203	15146
127	2221	15133
128	2237	15104
129	2253	15079
130	2268	15050
131	2284	15019
132	2299	14991
133	2315	14962
134	2330	14934
135	2346	14905
136	2361	14873
137	2376	14845
138	2392	14816
139	2406	14784
140	2421	14753
141	2437	14727
142	2452	14698
143	2468	14675
144	2483	14646
145	2499	14619
146	2514	14590
147	2530	14566
148	2546	14542
149	2564	14534
150	2589	14557
151	2616	14597
152	2637	14599
153	2656	14593
154	2685	14638
155	2703	14628
156	2724	14630
157	2743	14621
158	2764	14623
159	2780	14599
160	2796	14572
161	2811	14543
162	2827	14519
163	2842	14491
164	2859	14468
165	2875	14444
166	2890	14419
167	2906	14392
168	2921	14364
169	2936	14336
170	2951	14310
171	2968	14288
172	2983	14262
173	2999	14239
174	3014	14213
175	3030	14186
176	3045	14159
177	3060	14133
178	3075	14107
179	3091	14081
180	3106	14056
181	3121	14031
182	3137	14006
183	3153	13983
184	3168	13960
185	3184	13935
186	3199	13911
187	3214	13884
188	3230	13862
189	3245	13837
190	3260	13812
191	3276	13789
192	3292	13765
193	3307	13741
194	3322	13716
195	3337	13691
196	3353	13667
197	3368	13644
198	3384	13621
199	3399	13597
200	3414	13574
201	3429	13549
202	3445	13526
203	3460	13501
204	3475	13478
205	3491	13456
206	3507	13436
207	3522	13414
208	3538	13391
209	3553	13369
210	3570	13351
211	3586	13329
212	3601	13306
213	3617	13285
214	3632	13261
215	3647	13240
216	3663	13220
217	3679	13198
218	3695	13178
219	3710	13155
220	3725	13132
221	3741	13112
222	3758	13094
223	3774	13075
224	3793	13065
225	3812	13055
226	3839	13072
227	3858	13064
228	3876	13050
229	3895	13040
230	3918	13044
231	3937	13034
232	3958	13030
233	3979	13027
234	4002	13030
235	4021	13017
236	4045	13023
237	4067	13023
238	4084	13005
239	4101	12989
240	4120	12975
241	4143	12978
242	4166	12979
243	4182	12959
244	4197	12936
245	4213	12915
246	4230	12896
247	4245	12874
248	4262	12855
249	4279	12837
250	4299	12830
251	4315	12809
252	4330	12786
253	4347	12767
254	4363	12747
255	4379	12726
256	4393	12702
257	4409	12681
258	4424	12657
259	4439	12635
260	4455	12615
261	4471	12596
262	4486	12573
263	4501	12550
264	4517	12530
265	4532	12507
266	4547	12484
267	4562	12461
268	4577	12440
269	4593	12420
270	4609	12399
271	4626	12382
272	4646	12374
273	4669	12372
274	4686	12354
275	4703	12338
276	4725	12333
277	4745	12323
278	4766	12316
279	4783	12299
280	4810	12308
281	4827	12292
282	4843	12271
283	4859	12251
284	4874	12229
285	4890	12209
286	4906	12189
287	4922	12168
288	4937	12146
289	4955	12131
290	4971	12113
291	4989	12099
292	5006	12079
293	5021	12059
294	5042	12049
295	5063	12043
296	5086	12038
297	5104	12025
298	5126	12019
299	5144	12003
300	5164	11993
301	5183	11980
302	5206	11977
303	5232	11980
304	5255	11975
305	5277	11970
306	5301	11967
307	5318	11948
308	5333	11927
309	5349	11907
310	5366	11889
311	5382	11870
312	5398	11849
313	5414	11829
314	5430	11810
315	5446	11789
316	5462	11768
317	5478	11748
318	5494	11729
319	5509	11707
320	5525	11687
321	5541	11667
322	5556	11646
323	5571	11624
324	5587	11605
325	5602	11584
326	5618	11563
327	5633	11542
328	5649	11522
329	5664	11501
330	5680	11481
331	5695	11459
332	5710	11438
333	5725	11417
334	5740	11396
335	5756	11375
336	5771	11354
337	5786	11333
338	5802	11314
339	5817	11293
340	5832	11271
341	5847	11250
342	5862	11229
343	5877	11208
344	5892	11187
345	5907	11167
346	5923	11146
347	5938	11125
348	5941	11083
349	5956	11061
350	5971	11041
351	5986	11021
352	6001	11000
353	6016	10979
354	6032	10959
355	6047	10939
356	6062	10919
357	6078	10899
358	6093	10879
359	6108	10859
360	6123	10839
361	6139	10820
362	6154	10799
363	6168	10778
364	6184	10758
365	6199	10738
366	6214	10718
367	6230	10699
368	6245	10679
369	6260	10660
370	6275	10639
371	6290	10619
372	6305	10598
373	6320	10578
374	6335	10558
375	6350	10539
376	6366	10520
377	6381	10500
378	6396	10480
379	6412	10461
380	6426	10441
381	6442	10422
382	6456	10401
383	6472	10382
384	6486	10361
385	6501	10341
386	6516	10321
387	6531	10302
388	6546	10282
389	6561	10262
390	6575	10242
391	6591	10223
392	6607	10205
393	6622	10185
394	6637	10166
395	6652	10147
396	6668	10128
397	6682	10108
398	6698	10088
399	6713	10070
400	6728	10051
401	6743	10031
402	6759	10013
403	6774	9993
404	6788	9973
405	6804	9954
406	6819	9935
407	6834	9916
408	6849	9897
409	6864	9878
410	6867	9842
411	6882	9822
412	6897	9803
413	6913	9785
414	6928	9766
415	6943	9747
416	6958	9727
417	6972	9708
418	6987	9689
419	7002	9669
420	7017	9650
421	7032	9632
422	7048	9614
423	7063	9596
424	7078	9576
425	7094	9558
426	7109	9541
427	7125	9522
428	7140	9503
429	7155	9485
430	7171	9467
431	7186	9448
432	7201	9430
433	7216	9411
434	7233	9395
435	7236	9360
436	7238	9326
437	7242	9292
438	7260	9277
439	7275	9259
440	7290	9241
441	7305	9223
442	7320	9204
443	7335	9185
444	7350	9167
445	7365	9149
446	7380	9130
447	7395	9112
448	7411	9094
449	7426	9077
